candidate_id,rank,score,reasoning
CAND_0005649,1,1.0000,"Senior Data Scientist, 7.4 yrs. shipped recommendation system, ranking model, retrieval; pinecone, weaviate; evaluated via a/b test, evaluation framework; Delhi-based (preferred); engaged (57% response, active)."
CAND_0008425,2,1.0000,"Senior NLP Engineer, 7.8 yrs. shipped recommendation system, learning to rank, retrieval; pinecone, qdrant; evaluated via ndcg, a/b test; engaged (66% response, active)."
CAND_0018499,3,1.0000,"Senior Machine Learning Engineer, 7.2 yrs. shipped recommendation system, learning to rank, retrieval; pinecone, weaviate; evaluated via ndcg, mrr; Noida-based (preferred); engaged (61% response, active)."
CAND_0028793,4,1.0000,"Search Engineer, 7.2 yrs. shipped recommendation system, ranking model, learning to rank; pinecone, elasticsearch; evaluated via a/b test, eval framework; in India, will relocate; engaged (57% response, active)."
CAND_0044222,5,1.0000,"AI Engineer, 7.7 yrs. shipped recommendation system, ranking model, retrieval; weaviate, qdrant; evaluated via a/b test, relevance judgment; engaged (60% response, active)."
CAND_0046525,6,1.0000,"Senior Machine Learning Engineer, 6.1 yrs. shipped learning-to-rank, retrieval, embedding; qdrant, elasticsearch; evaluated via ndcg, mrr; Pune-based (preferred); engaged (88% response, active)."
CAND_0050454,7,1.0000,"AI Engineer, 6.8 yrs. shipped recommendation system, learning-to-rank, retrieval; qdrant, elasticsearch; evaluated via relevance judgment, click-through; Delhi-based (preferred); engaged (77% response, active)."
CAND_0066376,8,1.0000,"Applied ML Engineer, 5.7 yrs. shipped recommendation system, learning to rank, retrieval; elasticsearch, faiss; evaluated via a/b test, relevance judgment; Mumbai-based (preferred); engaged (51% response, active)."
CAND_0071974,9,1.0000,"Senior AI Engineer, 7.8 yrs. shipped recommendation system, learning to rank, retrieval; pinecone, weaviate; evaluated via a/b test, online evaluation; engaged (76% response, active)."
CAND_0077337,10,1.0000,"Staff Machine Learning Engineer, 7.0 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, qdrant; evaluated via ndcg, a/b test; in India, will relocate; engaged (95% response, active)."
CAND_0081846,11,1.0000,"Lead AI Engineer, 6.7 yrs. shipped recommendation system, learning to rank, retrieval; qdrant, elasticsearch; evaluated via ndcg, mrr; in India, will relocate; engaged (73% response, active)."
CAND_0083879,12,1.0000,"Machine Learning Engineer, 7.1 yrs. shipped recommendation system, ranking model, retrieval; milvus, faiss; evaluated via a/b test, click-through; Noida-based (preferred)."
CAND_0069905,13,0.9994,"Applied ML Engineer, 6.6 yrs. shipped recommendation system, learning to rank, retrieval; pinecone, weaviate; evaluated via a/b test, evaluation framework; in India, will relocate; engaged (78% response, active)."
CAND_0079387,14,0.9943,"AI Engineer, 6.9 yrs. shipped recommendation system, recsys, learning to rank; pinecone, opensearch; evaluated via a/b test, evaluation framework; engaged (81% response, active)."
CAND_0062247,15,0.9925,"AI Engineer, 7.3 yrs. shipped recommendation system, learning to rank, retrieval; pinecone, qdrant; evaluated via relevance judgment, click-through; in India, will relocate; engaged (78% response, active)."
CAND_0011687,16,0.9913,"Senior NLP Engineer, 7.8 yrs. shipped learning-to-rank, retrieval, semantic search; pinecone, weaviate; evaluated via ndcg, mrr; engaged (89% response, active)."
CAND_0064326,17,0.9899,"Search Engineer, 7.6 yrs. shipped recommendation system, ranking model, learning-to-rank; pinecone, weaviate; evaluated via a/b test, eval framework; Gurgaon-based (preferred); engaged (94% response, active)."
CAND_0079064,18,0.9891,"Senior Data Scientist, 5.2 yrs. shipped recommendation system, retrieval, semantic search; pinecone, opensearch; evaluated via eval framework, evaluation framework; Noida-based (preferred); engaged (91% response, active)."
CAND_0041669,19,0.9883,"Recommendation Systems Engineer, 8.0 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, weaviate; evaluated via a/b test, eval framework; Noida-based (preferred); engaged (77% response, active)."
CAND_0068811,20,0.9875,"Applied ML Engineer, 8.0 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, weaviate; evaluated via a/b test, evaluation framework; Pune-based (preferred)."
CAND_0070485,21,0.9855,"Search Engineer, 6.4 yrs. shipped recommendation system, recsys, learning-to-rank; elasticsearch, faiss; evaluated via relevance judgment, click-through."
CAND_0002025,22,0.9831,"Senior AI Engineer, 5.9 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, weaviate; evaluated via a/b test, online evaluation; engaged (80% response, active)."
CAND_0046064,23,0.9830,"Senior NLP Engineer, 8.9 yrs. shipped learning-to-rank, retrieval, semantic search; pinecone, opensearch; evaluated via ndcg, mrr; engaged (78% response, active)."
CAND_0041610,24,0.9783,"Recommendation Systems Engineer, 6.7 yrs. shipped recommendation system, learning to rank, retrieval; pinecone, opensearch; evaluated via evaluation framework, click-through; in India, will relocate; engaged (52% response, active)."
CAND_0075574,25,0.9777,"Machine Learning Engineer, 5.7 yrs. shipped recommendation system, ranking model, learning-to-rank; pinecone, weaviate; evaluated via a/b test, eval framework; in India, will relocate; engaged (58% response, active)."
CAND_0042506,26,0.9757,"Search Engineer, 4.2 yrs. shipped recommendation system, retrieval, semantic search; pinecone, qdrant; evaluated via a/b test, evaluation framework; Mumbai-based (preferred)."
CAND_0018722,27,0.9749,"Recommendation Systems Engineer, 6.6 yrs. shipped recommendation system, learning-to-rank, retrieval; weaviate, elasticsearch; evaluated via a/b test, relevance judgment; engaged (79% response, active)."
CAND_0098846,28,0.9747,"AI Engineer, 7.6 yrs. shipped recommendation system, recsys, learning-to-rank; pinecone, qdrant; evaluated via a/b test, evaluation framework; in India, will relocate; engaged (62% response, active)."
CAND_0054394,29,0.9745,"Recommendation Systems Engineer, 4.1 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, elasticsearch; evaluated via a/b test, relevance judgment; Pune-based (preferred); engaged (64% response, active)."
CAND_0050876,30,0.9721,"Applied ML Engineer, 6.0 yrs. shipped recommendation system, learning-to-rank, embedding; qdrant, opensearch; evaluated via a/b test, click-through; engaged (67% response, active)."
CAND_0017960,31,0.9713,"Recommendation Systems Engineer, 7.7 yrs. shipped recommendation system, ranking model, retrieval; pinecone, qdrant; evaluated via a/b test, evaluation framework; in India, will relocate; engaged (72% response, active)."
CAND_0037566,32,0.9707,"Machine Learning Engineer, 6.9 yrs. shipped recommendation system, retrieval, embedding; pinecone, elasticsearch; evaluated via eval framework, evaluation framework; in India, will relocate; engaged (50% response, active)."
CAND_0053591,33,0.9706,"AI Engineer, 5.3 yrs. shipped recommendation system, ranking model, semantic search; pinecone, qdrant; evaluated via a/b test, evaluation framework; outside India, no relocate; engaged (81% response, active)."
CAND_0088025,34,0.9698,"Staff Machine Learning Engineer, 8.6 yrs. shipped learning to rank, retrieval, embedding; pinecone, elasticsearch; evaluated via a/b test, online evaluation; engaged (83% response, active)."
CAND_0099806,35,0.9698,"AI Engineer, 4.6 yrs. shipped recommendation system, ranking model, retrieval; weaviate, qdrant; evaluated via a/b test, click-through; in India, will relocate; engaged (76% response, active)."
CAND_0070398,36,0.9692,"Machine Learning Engineer, 7.2 yrs. shipped recommendation system, recsys, ranking model; elasticsearch, faiss; evaluated via a/b test, relevance judgment; in India, will relocate; engaged (60% response, active)."
CAND_0086022,37,0.9677,"Senior Applied Scientist, 5.3 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, elasticsearch; evaluated via ndcg, mrr; in India, will relocate; engaged (55% response, active)."
CAND_0041568,38,0.9650,"Search Engineer, 5.2 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, weaviate; evaluated via a/b test, evaluation framework; outside India, no relocate; engaged (52% response, active)."
CAND_0027801,39,0.9648,"NLP Engineer, 7.4 yrs. shipped recommendation system, learning to rank, retrieval; milvus, opensearch; evaluated via a/b test, eval framework; Hyderabad-based (preferred); engaged (65% response, active)."
CAND_0084819,40,0.9638,"Search Engineer, 4.5 yrs. shipped recommendation system, recsys, learning-to-rank; pinecone, weaviate; evaluated via evaluation framework, click-through; engaged (74% response, active)."
CAND_0055905,41,0.9599,"Senior Machine Learning Engineer, 8.1 yrs. shipped learning-to-rank, retrieval, semantic search; opensearch, elasticsearch; evaluated via ndcg, mrr; outside India, no relocate; engaged (87% response, active)."
CAND_0010257,42,0.9578,"Senior Data Scientist, 6.5 yrs. shipped recommendation system, ranking model, retrieval; qdrant, milvus; evaluated via a/b test, click-through; Noida-based (preferred); engaged (72% response, active)."
CAND_0039838,43,0.9577,"Recommendation Systems Engineer, 4.9 yrs. shipped recommendation system, ranking model, semantic search; milvus, opensearch; evaluated via a/b test, click-through; engaged (80% response, active)."
CAND_0093912,44,0.9557,"Senior Data Scientist, 5.3 yrs. shipped recommendation system, learning to rank, retrieval; milvus, elasticsearch; evaluated via eval framework, relevance judgment; engaged (66% response, active)."
